"AQI","CO","o3"
"30.2","198.60268","55.789948"
"28.2","197.60132","54.93164"
"26.6","198.60268","54.64554"
"25","201.94054","55.07469"
"26","205.2784","55.789948"
"26","208.61626","56.505203"
"26","208.61626","55.789948"
"24","205.2784","52.928925"
"23","200.2716","50.0679"
"24","196.93375","51.498413"
"25","198.60268","53.64418"
"26","200.2716","55.789948"
"27","203.60947","59.366226"
"29","205.2784","62.22725"
"29","205.2784","62.942505"
"29","205.2784","62.942505"
"29","203.60947","62.22725"
"28","201.94054","60.796738"
"27","200.2716","59.366226"
"27","201.94054","58.65097"
"27","201.94054","58.65097"
"27","201.94054","57.935715"
"27","200.2716","57.935715"
"27","200.2716","58.65097"
"27","200.2716","59.366226"
"28","201.94054","61.511993"
"29","203.60947","63.65776"
"31","205.2784","66.51878"
"31","206.94733","67.949295"
"32","206.94733","68.66455"
"32","205.2784","68.66455"
"31","206.94733","67.23404"
"31","206.94733","66.51878"
"30","208.61626","65.80353"
"30","206.94733","64.37302"
"29","205.2784","62.22725"
"27","203.60947","59.366226"
"26","200.2716","56.505203"
"25","200.2716","55.07469"
"25","198.60268","53.64418"
"24","196.93375","52.928925"
"24","195.26482","52.928925"
"25","195.26482","53.64418"
"25","195.26482","53.64418"
"25","196.93375","54.359436"
"26","198.60268","55.789948"
"26","198.60268","57.22046"
"27","198.60268","57.935715"
"27","198.60268","58.65097"
"27","198.60268","58.65097"
"27","200.2716","59.366226"
"28","200.2716","60.081482"
"28","200.2716","60.081482"
"27","200.2716","59.366226"
"27","198.60268","58.65097"
"26","198.60268","57.22046"
"25","198.60268","54.359436"
"23","198.60268","50.783157"
"22","196.93375","47.922134"
"21","193.59589","45.41874"
"20","193.59589","43.988228"
"19","191.92696","41.84246"
"19","191.92696","41.484833"
"20","191.92696","43.272972"
"21","191.92696","45.41874"
"21","191.92696","45.41874"
"21","191.92696","45.41874"
"22","193.59589","47.20688"
"24","195.26482","52.21367"
"26","196.93375","56.505203"
"27","198.60268","59.366226"
"28","198.60268","60.796738"
